soc_uk,classification,E_uk,sigma_Scotland,sigma_rUK,dsigma,contribution
123,Complemented,73.05369883509142,0.0026118976775017402,0.00312074158944365,-5.088439119419097e-4,-3.2397446271781284e-5
242,Complemented,84.27740571160479,0.01710995680074601,0.01725140278341808,-1.4144598267206918e-4,-2.4881168739231766e-5
722,Complemented,75.02455132806892,0.00118709003308759,0.00148216177337732,-2.9507174028972996e-4,-2.4602272078158332e-5
221,Complemented,72.25480220992335,0.00990371453663323,0.01030945138007768,-4.0573684344445e-4,-2.2591332089484727e-5
224,Complemented,63.260606751824795,0.00151262927475062,8.605636778033592e-4,6.520655969472608e-4,-2.234119511043403e-5
114,Complemented,81.51308003939866,7.04632825066428e-4,8.468291687718121e-4,-1.4219634370538406e-4,-2.1082391563102193e-5
541,Unexposed,40.81673677199487,0.00137733902332609,0.00129863832176926,7.87007015568299e-5,-2.0359941488562146e-5
246,Complemented,65.21405513100645,0.00779290573499589,0.00677314585822162,0.0010197598767742698,-1.5018723454162228e-5
324,Complemented,49.86073228579899,8.223212998350302e-4,7.400603019321083e-4,8.226099790292188e-5,-1.3841312359846097e-5
357,Complemented,74.91468270960206,0.01175536526495355,0.01191530637318075,-1.5994110822720002e-4,-1.3159725666528768e-5
341,Complemented,64.14482100378198,0.0146806307428137,0.01421851412148006,4.621166213336393e-4,-1.1747026268249233e-5
811,Complemented,56.88928526373068,0.00733188898896518,0.00724999445909247,8.189452987270984e-5,-8.023649688576733e-6
823,Complemented,64.5796990294337,0.00309135883843254,0.00271926751136266,3.7209132706988004e-4,-7.84043563337834e-6
621,Substituted,66.29701783496962,0.0066072200989819,0.00557700399584963,0.0010302161031322705,-4.015863512620249e-6
222,Complemented,70.97716819913543,0.00891923218803191,0.00895296614902993,-3.373396099802008e-5,-1.4473024615479702e-6
116,Complemented,66.52463897938065,0.00202064650951151,0.00174818318146068,2.724633280508299e-4,-4.4189936728212676e-7
542,Complemented,60.77907874521035,8.519072648524353e-4,8.782069851332947e-4,-2.6299720280859398e-5,1.5537209269668806e-6
816,Complemented,65.41021107363798,7.84308952375959e-4,0.00101921295842167,-2.34904006045711e-4,2.9988189254941873e-6
121,Complemented,67.73030395350693,0.00206287204819141,0.00154566941592091,5.172026322704999e-4,5.3968969361720754e-6
245,Complemented,79.80206138837843,0.01002393092613433,0.00994992457506776,7.400635106656964e-5,9.70610735843071e-6
624,Complemented,67.46546434879612,0.0032987414729691,0.00199129721346975,0.00130744425949935,1.0180266168965307e-5
343,Complemented,56.98122082973423,0.00546254285751736,0.00557546692083166,-1.1292406331430034e-4,1.0959963401427939e-5
322,Complemented,67.11915210698417,0.01592998237949805,0.01266193643123806,0.0032680459482599903,1.412862525936039e-5
533,Complemented,69.70134172602287,0.00206605534822493,0.0015585279574691,5.075273907558301e-4,1.5299494473741738e-5
525,Complemented,74.47000847654536,0.00153538050734312,0.00133679249036051,1.9858801698260996e-4,1.5456468311751238e-5
356,Complemented,77.9912263210369,0.00436261906946522,0.00421909738360247,1.4352168586275003e-4,1.622426633185883e-5
225,Complemented,67.93222282643836,0.01111140239346712,0.00971261176167489,0.00139879063179223,1.7420498175998747e-5
815,Unexposed,39.525801031014154,0.00400299979214923,0.00407113325351231,-6.813346136308029e-5,1.85057462563187e-5
